kartez,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
IPPU4,-0.0775579663901298,3.8415715227584935,NA,NA,-0.0775579663901298,3.8415715227584935,-0.0775579663901298,3.8415715227584935,NA,NA,NA,NA
JUMO,0.35559219033158995,1.7660816737987306,NA,NA,NA,NA,NA,NA,NA,NA,0.35559219033158995,1.7660816737987306
KAPA,-0.08442366689528183,3.4810251715992315,-0.07619047619047617,3.872983346207417,-0.10609638404416018,3.4011583958294027,-0.09019129940738561,3.6360077335724115,-0.08952480791043282,3.635263537360213,-0.05991122871884072,2.8223492832132164
LAOCO,-0.0730760352735291,3.7050197021008002,NA,NA,-0.06662231913642803,3.708445850506821,-0.06662231913642803,3.708445850506821,NA,NA,-0.08874934589220308,3.6966990559718913
LATR2,0.3413948405119068,1.0769521171108463,NA,NA,0.3528553250100977,1.0016237848975271,0.3413948405119068,1.0769521171108463,0.1408363617935665,2.3951979308439317,NA,NA
LEFE,0.055980047612971,2.2581589993052535,NA,NA,0.046112205521570256,2.241279523031285,0.055980047612971,2.2581589993052535,0.2237333631667836,2.545110095962724,NA,NA
LEPI3,0.04890281388815734,1.9686222811842833,NA,NA,NA,NA,NA,NA,NA,NA,0.04890281388815734,1.9686222811842833
LIIN2,-0.07619047619047621,3.872983346207417,-0.07619047619047621,3.872983346207417,NA,NA,-0.07619047619047621,3.872983346207417,NA,NA,NA,NA
LIPU4,-0.07709002707563523,3.69989413461096,-0.06956750369190126,3.718036924522133,-0.08088250789221602,3.6370781801449863,-0.07709002707563523,3.69989413461096,-0.08647757174294578,3.7040879269771874,NA,NA
LOPL2,-0.09003603744412872,3.4742515033873143,NA,NA,NA,NA,NA,NA,NA,NA,-0.09003603744412872,3.4742515033873143
LYPH,0.15003818432463747,2.398542844699497,NA,NA,NA,NA,NA,NA,NA,NA,0.15003818432463747,2.398542844699497
MAGR10,-0.07619047619047618,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.07619047619047616,3.872983346207417,NA,NA
MAHA4,-0.11652661064425768,3.2860947893673647,NA,NA,NA,NA,NA,NA,NA,NA,-0.11652661064425768,3.2860947893673647
MAHEH2,-0.07619047619047614,3.872983346207417,-0.07619047619047614,3.872983346207417,NA,NA,-0.07619047619047614,3.872983346207417,NA,NA,NA,NA
MAPIP,0.1494686661705358,3.0940131509649116,0.19791364173832116,2.970485895620774,0.1297523431792436,2.9905000606006853,0.1494686661705358,3.0940131509649116,0.15422599657324304,3.286931607159052,NA,NA
MAWR2,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047618,3.872983346207417
MELE2,0.005602953589870108,3.354912982985682,-0.0017280791358432843,3.4544600192477626,0.017515881769154373,3.1931490490598007,0.005602953589870108,3.354912982985682,NA,NA,NA,NA
MESC,-0.04840060259345602,2.6059373598776965,NA,NA,-0.04840060259345602,2.6059373598776965,-0.04840060259345602,2.6059373598776965,NA,NA,NA,NA
MIAL4,9.629127299230042e-4,3.4586634003356593,0.024108929406042763,3.334367416574132,-0.07619047619047624,3.872983346207417,0.014990801624541037,3.3833325010862487,NA,NA,-0.07619047619047617,3.872983346207417
MILI3,0.002037013635535962,2.5814922780976426,0.04773471575785109,2.091231040698525,NA,NA,0.04773471575785109,2.091231040698525,NA,NA,-0.006531305512398125,2.673416260109977
MIMU,-0.07057673530612382,3.6602582692705035,NA,NA,NA,NA,NA,NA,NA,NA,-0.07057673530612382,3.6602582692705035
MIOX,-0.12770913910815862,3.295408486926646,NA,NA,NA,NA,NA,NA,NA,NA,-0.12770913910815862,3.295408486926646
MOCE,-0.0871187744115921,3.6765641165428278,-0.09804707263270801,3.4801448868782385,NA,NA,-0.09804707263270801,3.4801448868782385,NA,NA,-0.0761904761904762,3.872983346207417
MUAR,-0.10379572118702556,3.4756393387019116,NA,NA,-0.11759834368530023,3.2769673349491595,-0.11759834368530023,3.2769673349491595,NA,NA,-0.07619047619047623,3.872983346207416
MUAR2,0.10441579799170078,2.286191363052248,0.18710715425771018,1.7293062406069795,-0.07192117653380736,3.562685871196493,0.11024180683628713,2.235004524885952,-0.030429668963595176,3.031255972547097,-0.07619047619047621,3.872983346207417
MUFR,-0.07619047619047617,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047617,3.872983346207417
MUPA2,0.032758183151847795,2.9799053156149053,NA,NA,NA,NA,NA,NA,NA,NA,0.032758183151847795,2.9799053156149053
MUPO2,0.05761100009778854,2.9084389400986956,-0.07619047619047627,3.872983346207417,0.09878068510956231,2.611656045911397,0.07545119693622383,2.7798330192841996,NA,NA,-0.0761904761904762,3.872983346207417
MUSQ3,-0.07432338431762388,3.4164508746408813,-0.08618600397958033,3.2847925447476047,-0.07765143131299511,3.390180364129508,-0.08087360854677182,3.4088237429824293,-0.08484444114957869,3.7103820909873826,-0.041572263171884144,3.4545865329331433
MUTO2,0.14757520838621996,1.6082688885310124,NA,NA,NA,NA,NA,NA,NA,NA,0.14757520838621996,1.6082688885310124
"NADI",-0.07104567402822308,3.454013992393915,NA,NA,NA,NA,NA,NA,NA,NA,-0.07104567402822308,3.454013992393915
"NAHI",-0.07619047619047617,3.872983346207417,NA,NA,-0.07619047619047617,3.872983346207417,-0.07619047619047617,3.872983346207417,NA,NA,NA,NA
NECA3,0.025105590315974917,3.304675133373751,NA,NA,NA,NA,NA,NA,NA,NA,0.025105590315974917,3.304675133373751
NOMI,0.32597874791341197,1.2613789817296062,NA,NA,NA,NA,NA,NA,NA,NA,0.32597874791341197,1.2613789817296062
OECA10,-0.054187257350270635,3.7590769650690934,-0.040435245575142165,3.687885476857641,NA,NA,-0.05131727228415687,3.7442196110075727,-0.07619047619047618,3.872983346207417,-0.0761904761904762,3.8729833462074166
OPEN3,0.02031892586711535,3.2262838382054237,NA,NA,NA,NA,NA,NA,NA,NA,0.02031892586711535,3.2262838382054237
OPMA8,0.05189994676733009,2.4924356850889606,NA,NA,0.10856179829656495,1.111888023970504,0.10856179829656495,1.111888023970504,NA,NA,-0.00476190476190477,3.872983346207417
OPPH,0.13234676120637168,2.5689918042627435,NA,NA,-0.03855064525188969,2.2533101897120895,0.2319594637387623,2.157646714695983,0.5024695727294143,2.061983239679877,0.12665460677594934,2.592497237952273
OPPOP,-0.07619047619047623,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047623,3.872983346207417
OPUNT,0.002835153991452383,3.5250034036832743,NA,NA,NA,NA,NA,NA,NA,NA,0.002835153991452383,3.5250034036832743
PAHI5,-0.07619047619047621,3.8729833462074175,-0.07619047619047621,3.8729833462074175,NA,NA,-0.07619047619047621,3.8729833462074175,NA,NA,-0.07619047619047621,3.872983346207417
PAIN2,-0.07619047619047621,3.8729833462074175,NA,NA,-0.07619047619047621,3.8729833462074175,-0.07619047619047621,3.8729833462074175,NA,NA,NA,NA
PEAN,-0.08288742193979574,2.7370705219007214,-0.1315083907043879,2.9204296536121648,-0.07619047619047617,3.872983346207417,-0.1236058314881148,3.0565087525543433,NA,NA,-0.0790870370486193,2.7072562870397165
PEBA2,0.10646032915745518,2.074021171732485,NA,NA,NA,NA,NA,NA,NA,NA,0.10646032915745518,2.074021171732485
PEFE,0.0308947307736654,3.051652934917835,0.17363657327337714,1.4089921123386713,-0.00476190476190477,3.872983346207417,0.084437334255736185,2.640987729273044,NA,NA,-0.07619047619047617,3.872983346207417
PELO3,0.08850234394275844,3.3890956483970096,NA,NA,NA,NA,NA,NA,NA,NA,0.08850234394275844,3.3890956483970096
PHACE,-0.07619047619047618,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA
PHCR,-0.04047619047619055,3.872983346207417,-0.017748917748917792,3.872983346207417,-0.07619047619047631,3.872983346207417,-0.04047619047619055,3.872983346207417,NA,NA,NA,NA
PHHE4,0.022150007168137826,3.5242273210845596,NA,NA,NA,NA,NA,NA,NA,NA,0.022150007168137826,3.5242273210845596
PHHEF,-0.12120108782773853,3.1779276218531454,NA,NA,NA,NA,NA,NA,NA,NA,-0.12120108782773853,3.1779276218531454
PHLO15,-0.0761904761904762,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.0761904761904762,3.872983346207417
PLJA,0.1152409766548273,2.3247981596944687,0.09433315839545488,2.12295962854705,0.19178637385557762,1.6342283960527253,0.10717742049319315,2.1895193204279026,0.03994901508342738,3.0833120515394334,0.14346342322054678,2.79827409712745
PLPA2,-0.0556941855568733,3.6288271888475423,-0.06601990899615118,3.4680940345253566,-0.054194928847255776,3.77472649255174,-0.056810179308584265,3.614289248169917,-0.04601960160088112,3.6779820465547814,-0.047014234154676864,3.74190006078463
POFE,-0.09544675045117258,2.800168095147957,NA,NA,NA,NA,NA,NA,NA,NA,-0.09544675045117258,2.800168095147957
POHA5,-0.0033365764987639923,3.5772134166521665,NA,NA,NA,NA,NA,NA,NA,NA,-0.0033365764987639923,3.5772134166521665
POOL,-0.09065703062015161,3.3249490497549563,-0.09795909855726687,3.4722647776745514,-0.07619047619047623,3.8729833462074175,-0.09505661557502812,3.5256939201456,-0.0761904761904762,3.872983346207417,-0.08938791957547569,3.2670418756038093
PRPA2,-0.0761904761904762,3.872983346207417,-0.0761904761904762,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417,NA,NA,NA,NA
PSTAT,-0.07619047619047621,3.872983346207417,-0.07619047619047618,3.8729833462074175,-0.07619047619047624,3.872983346207417,-0.07619047619047621,3.872983346207417,NA,NA,NA,NA
RHTR,0.21785507084224773,2.1914800639446734,NA,NA,NA,NA,NA,NA,NA,NA,0.21785507084224773,2.1914800639446734
SAAB,-0.09157824178387305,2.920289416503923,-0.06190476190476192,3.872983346207417,0.15248372730387122,3.2794857974367524,-0.02453600957911863,3.6060112455908633,-0.10813386564800026,3.2651064422035896,-0.099843722466651,2.835748369082245
SASU7,-0.13907551687827857,2.801045840986918,NA,NA,NA,NA,NA,NA,NA,NA,-0.13907551687827857,2.801045840986918
SATR12,-0.047195383496078346,3.1318681276261455,-0.06099056637216676,2.8919157736558563,NA,NA,-0.04652107901481328,3.1146328899847204,-0.013129954343997557,3.628595466128254,-0.07619047619047621,3.872983346207417
SCBR2,0.001393811922846895,1.8088835430736352,-0.027459215337364496,1.1347622297812245,0.02265418807390322,1.9412155934284296,0.001393811922846895,1.8088835430736352,-0.08288890409317397,2.0260732108834842,NA,NA
SCLA6,-0.07619047619047625,3.872983346207417,NA,NA,-0.07619047619047625,3.872983346207417,-0.07619047619047625,3.872983346207417,NA,NA,NA,NA
SCMU6,-0.034401188965098285,2.967497515131287,NA,NA,NA,NA,NA,NA,NA,NA,-0.034401188965098285,2.967497515131287
SEBA3,-0.022909513754629407,3.1639268986699918,-0.022909513754629407,3.1639268986699918,NA,NA,-0.022909513754629407,3.1639268986699918,NA,NA,NA,NA
SEDI3,-0.04339501843875198,2.880253460702417,-0.12935359864897897,2.9953252895100553,0.0232470049330514,2.2688166891422776,-0.05305329685796378,2.6320709893261665,NA,NA,-0.00476190476190476,3.872983346207417
SEFLF,-0.03799107817247696,3.761643300385976,-0.03799107817247696,3.761643300385976,NA,NA,-0.03799107817247696,3.761643300385976,NA,NA,NA,NA
SIAL2,-0.07154127923358694,3.7780610360805955,NA,NA,NA,NA,NA,NA,NA,NA,-0.07154127923358694,3.7780610360805955
SOEL,0.032493117911768905,2.6955346776118088,0.016311139000831323,2.732803589144211,-0.10713816788863127,2.4834394784485916,-0.007931734497042443,2.778621555977923,-0.07619047619047623,3.872983346207417,0.14568270465644068,2.4628914181866888
SOJA,-0.09322948467984302,2.9236188908182696,NA,NA,NA,NA,NA,NA,NA,NA,-0.09322948467984302,2.9236188908182696
SPAI,-0.1366634592589494,2.891810090180135,NA,NA,-0.1366634592589494,2.891810090180135,-0.1366634592589494,2.891810090180135,NA,NA,NA,NA
SPCOC,0.015850548984194326,2.7489372645797907,NA,NA,NA,NA,NA,NA,NA,NA,0.015850548984194326,2.7489372645797907
SPHA,-0.07723503483725923,3.036964543077942,-0.07734498837902587,2.9489625638011554,-0.0761904761904762,3.872983346207417,-0.07723503483725923,3.036964543077942,NA,NA,NA,NA
SPORO,0.12290103784095482,2.4128319758781696,0.17968786400250367,2.351896825106296,0.05759745060523368,2.831763186694728,0.16636011705470347,2.2961528796774835,0.3003077830013076,1.4580207617872374,-0.013684639687969508,2.7795377067946125
SPPO6,0.06192001635176878,2.880221423757894,-0.07604754375872601,3.4428113995934386,0.04968567434197008,2.6173269081682213,0.05901881851944922,2.89785641872344,0.1493917800638335,2.8514129407566595,0.06899168606804772,2.8372361235293755
STEM,0.5326761052567505,1.5458283310257022,NA,NA,0.5292703592703593,1.5401387285327592,0.5326761052567505,1.5458283310257022,0.6348484848484849,1.716516405813988,NA,NA
STPA4,0.04669401206955459,1.7735832098255224,0.04669401206955459,1.7735832098255224,NA,NA,0.04669401206955459,1.7735832098255224,NA,NA,NA,NA
TEAR4,-0.07619047619047621,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047621,3.872983346207417
TECO,-0.009559370183811805,3.1591218041880147,-0.009559370183811805,3.1591218041880147,NA,NA,-0.009559370183811805,3.1591218041880147,NA,NA,NA,NA
THAC,0.14903559662520469,2.549584232781661,NA,NA,0.1651231732548962,2.455055724679821,0.14903559662520469,2.549584232781661,-0.0761904761904762,3.872983346207417,NA,NA
THME,-0.0761904761904762,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.07619047619047621,3.872983346207417,-0.0761904761904762,3.872983346207417,NA,NA,NA,NA
THWR,-0.012028923904485378,3.622526781064257,NA,NA,NA,NA,NA,NA,NA,NA,-0.012028923904485378,3.622526781064257
TICA3,-0.08713039778770468,3.62168875861603,NA,NA,-0.08713039778770468,3.62168875861603,-0.08713039778770468,3.62168875861603,NA,NA,NA,NA
TILA2,-0.08096370889298157,3.6474088174244375,NA,NA,-0.0761904761904762,3.872983346207417,-0.08096370889298157,3.6474088174244375,-0.08156036298079475,3.619212001326565,NA,NA
TOAN,-0.07619047619047618,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.07619047619047617,3.872983346207417,NA,NA
TRRA,-0.0768158877032942,3.3169894964722606,-0.07686800532936237,3.2706566756609976,NA,NA,-0.07686800532936237,3.2706566756609976,NA,NA,-0.07619047619047621,3.8729833462074175
TRRA5,-0.07619047619047624,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047624,3.872983346207417
VINE,-0.012611060982969678,3.3453893077730905,NA,NA,NA,NA,NA,NA,NA,NA,-0.012611060982969678,3.3453893077730905
YUBA,0.21851696690969563,1.8147664717009413,NA,NA,NA,NA,NA,NA,NA,NA,0.21851696690969563,1.8147664717009413
ZIGR,-0.059997613452166004,2.8458863966869417,-0.10360708599805826,3.0006415368903063,NA,NA,-0.10360708599805826,3.0006415368903063,NA,NA,0.2452686943690798,1.7626004152633876
